Branch_Location,Loan_Product,Employment_Status,Credit_Risk_Rating,Loan_Status,Loan_Amount_PHP,Interest_Rate_Annual,Monthly_Income_PHP,Loan_Term_Months,Days_Past_Due,Application_Date,Disbursement_Date
Cebu IT Park Branch,OFW Remittance Advance,Contractual,Medium Risk,Past Due,379726.01,22.36,34961.3,6,60,2025-06-03,2025-06-06
Makati CBD Branch,Small Business Micro-Loan,Self-Employed,Low Risk,Fully Paid,60530.7,11.47,98222.49,24,1,2025-03-18,2025-03-20
Makati CBD Branch,OFW Remittance Advance,Regular,Low Risk,Restructured,452250.92,13.51,110329.37,12,54,2025-01-24,2025-01-28
Davao Central Branch,OFW Remittance Advance,Self-Employed,High Risk,Active,257573.66,12.01,114088.67,36,79,2025-02-04,2025-02-10
Davao Central Branch,Emergency Cash Loan,Contractual,Medium Risk,Active,414964.16,14.0,115814.24,6,86,2025-01-24,2025-01-26
Quezon City Hub,Salary Loan,Regular,Low Risk,Active,166824.3,9.58,69753.26,12,37,2025-01-28,2025-02-03
Davao Central Branch,OFW Remittance Advance,Regular,Low Risk,Past Due,448806.38,16.55,117617.33,12,79,2025-01-16,2025-01-19
Davao Central Branch,OFW Remittance Advance,Regular,Low Risk,Restructured,200708.82,9.55,94517.57,6,77,2025-02-28,2025-03-06
Cebu IT Park Branch,Small Business Micro-Loan,OFW Dependent,Medium Risk,Fully Paid,15310.45,20.91,31975.5,12,28,2025-05-24,2025-05-28
Makati CBD Branch,Small Business Micro-Loan,Self-Employed,Medium Risk,Active,453637.17,12.12,65074.51,6,25,2025-01-15,2025-01-17
Davao Central Branch,Emergency Cash Loan,OFW Dependent,High Risk,Restructured,54730.47,16.87,90424.77,6,34,2025-01-11,2025-01-15
Quezon City Hub,Emergency Cash Loan,Regular,Low Risk,Active,166463.68,22.14,40970.73,18,78,2025-03-20,2025-03-24
Davao Central Branch,OFW Remittance Advance,Self-Employed,Low Risk,Fully Paid,475530.36,18.59,82264.59,24,66,2025-04-25,2025-04-27
Makati CBD Branch,Salary Loan,Self-Employed,High Risk,Restructured,475797.5,16.76,84993.05,12,86,2025-03-09,2025-03-13
Davao Central Branch,Salary Loan,Contractual,Low Risk,Past Due,290984.57,13.53,32083.47,12,28,2025-02-12,2025-02-17
Cebu IT Park Branch,Emergency Cash Loan,OFW Dependent,High Risk,Past Due,319600.23,13.66,74333.96,18,33,2025-03-10,2025-03-15
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Active,229738.31,18.88,96020.83,18,40,2025-05-21,2025-05-26
Davao Central Branch,OFW Remittance Advance,Contractual,Low Risk,Active,153673.28,23.91,67384.04,18,40,2025-05-18,2025-05-24
Cebu IT Park Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Restructured,171045.63,18.76,16270.83,36,22,2025-03-16,2025-03-20
Makati CBD Branch,Salary Loan,Regular,Medium Risk,Fully Paid,339534.04,17.15,15949.04,36,70,2025-04-13,2025-04-15
Davao Central Branch,Emergency Cash Loan,Regular,Medium Risk,Active,378663.52,19.83,52488.08,36,2,2025-02-10,2025-02-12
Cebu IT Park Branch,Salary Loan,OFW Dependent,Medium Risk,Restructured,397873.73,15.71,112250.38,6,57,2025-06-27,2025-07-03
Quezon City Hub,Salary Loan,Contractual,Low Risk,Fully Paid,396912.89,9.43,39011.06,12,31,2025-02-28,2025-03-02
Cebu IT Park Branch,Emergency Cash Loan,Self-Employed,High Risk,Active,,17.22,81608.19,24,30,2025-02-08,2025-02-13
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,High Risk,Active,252265.95,23.34,38317.97,6,81,2025-01-03,2025-01-07
Davao Central Branch,OFW Remittance Advance,Self-Employed,Low Risk,Restructured,38203.79,11.22,48775.35,12,42,2025-01-07,2025-01-09
Cebu IT Park Branch,Small Business Micro-Loan,Contractual,Medium Risk,Active,279269.15,19.2,104044.42,12,6,2025-02-18,2025-02-20
Quezon City Hub,Emergency Cash Loan,Self-Employed,High Risk,Past Due,226349.95,11.61,91530.45,18,0,2025-01-26,2025-01-29
Makati CBD Branch,Emergency Cash Loan,Contractual,Low Risk,Fully Paid,444975.05,16.81,25016.92,18,60,2025-06-10,2025-06-13
Cebu IT Park Branch,OFW Remittance Advance,Contractual,Low Risk,Fully Paid,181948.36,10.0,60013.71,6,13,2025-04-11,2025-04-14
Davao Central Branch,Small Business Micro-Loan,Regular,Medium Risk,Past Due,,15.48,18062.83,18,51,2025-06-25,2025-06-29
Makati CBD Branch,OFW Remittance Advance,Regular,Low Risk,Restructured,80065.92,20.22,65493.47,12,5,2025-03-20,2025-03-25
Quezon City Hub,Salary Loan,Contractual,High Risk,Past Due,383140.21,13.89,84555.57,18,9,2025-01-02,2025-01-07
Cebu IT Park Branch,Salary Loan,OFW Dependent,High Risk,Past Due,312926.85,18.81,27442.78,36,70,2025-05-07,2025-05-12
Cebu IT Park Branch,Salary Loan,Regular,Low Risk,Fully Paid,59550.11,20.83,45332.92,18,89,2025-06-09,2025-06-13
Davao Central Branch,Small Business Micro-Loan,Contractual,High Risk,Restructured,51212.33,22.87,56772.85,12,29,2025-05-12,2025-05-16
Makati CBD Branch,Salary Loan,Self-Employed,Low Risk,Active,353474.87,12.14,111550.76,6,20,2025-01-20,2025-01-23
Cebu IT Park Branch,OFW Remittance Advance,Self-Employed,High Risk,Past Due,45653.87,14.69,119291.78,24,59,2025-04-27,2025-04-29
Cebu IT Park Branch,Small Business Micro-Loan,OFW Dependent,Medium Risk,Past Due,412711.43,10.86,19715.69,18,80,2025-06-13,2025-06-19
Makati CBD Branch,OFW Remittance Advance,Self-Employed,High Risk,Restructured,356058.69,23.88,94905.83,12,73,2025-02-01,2025-02-07
Cebu IT Park Branch,Emergency Cash Loan,Self-Employed,Medium Risk,Past Due,49860.9,22.87,54031.03,24,62,2025-01-28,2025-01-30
Makati CBD Branch,Small Business Micro-Loan,Contractual,Medium Risk,Restructured,51570.48,16.87,56208.11,24,41,2025-03-18,2025-03-21
Makati CBD Branch,OFW Remittance Advance,Self-Employed,Low Risk,Active,493453.39,21.55,94197.82,36,50,2025-01-01,2025-01-03
Makati CBD Branch,OFW Remittance Advance,Self-Employed,Medium Risk,Restructured,193392.69,16.57,111434.78,24,63,2025-02-25,2025-02-27
Davao Central Branch,Small Business Micro-Loan,Self-Employed,High Risk,Active,191614.65,18.17,114847.5,12,75,2025-02-04,2025-02-10
Makati CBD Branch,Emergency Cash Loan,Self-Employed,High Risk,Restructured,408271.79,9.88,75597.87,12,55,2025-04-22,2025-04-25
Makati CBD Branch,Small Business Micro-Loan,Contractual,Medium Risk,Past Due,474151.8,20.21,52497.72,18,79,2025-01-30,2025-02-03
Quezon City Hub,Salary Loan,Self-Employed,Low Risk,Active,493140.52,10.48,97692.65,18,40,2025-02-23,2025-03-01
Quezon City Hub,Salary Loan,OFW Dependent,Medium Risk,Past Due,379155.31,21.3,41355.15,18,31,2025-02-05,2025-02-09
Davao Central Branch,Emergency Cash Loan,Regular,High Risk,Active,194367.2,20.62,74227.77,24,14,2025-03-21,2025-03-24
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,High Risk,Restructured,50915.35,19.49,52650.74,24,61,2025-02-27,2025-03-01
Quezon City Hub,OFW Remittance Advance,Regular,Medium Risk,Restructured,390801.99,9.06,83946.26,36,26,2025-03-24,2025-03-29
Quezon City Hub,OFW Remittance Advance,OFW Dependent,Medium Risk,Restructured,283618.08,13.2,40241.89,18,27,2025-03-06,2025-03-11
Cebu IT Park Branch,Small Business Micro-Loan,Regular,Medium Risk,Fully Paid,217868.78,12.58,35117.26,6,80,2025-03-10,2025-03-13
Makati CBD Branch,Small Business Micro-Loan,Regular,High Risk,Fully Paid,454113.65,14.08,111415.1,36,63,2025-05-08,2025-05-13
Quezon City Hub,Emergency Cash Loan,Regular,High Risk,Active,64486.77,9.86,25689.39,6,58,2025-02-20,2025-02-24
Davao Central Branch,Salary Loan,Regular,High Risk,Fully Paid,251386.3,23.02,68125.58,24,57,2025-01-22,2025-01-27
Cebu IT Park Branch,OFW Remittance Advance,Contractual,Low Risk,Restructured,15563.29,17.08,38189.54,36,1,2025-04-17,2025-04-20
Cebu IT Park Branch,Salary Loan,OFW Dependent,High Risk,Fully Paid,239643.71,13.24,19087.65,36,35,2025-04-19,2025-04-22
Makati CBD Branch,Small Business Micro-Loan,Regular,High Risk,Fully Paid,37588.61,14.65,18781.98,12,70,2025-04-26,2025-04-30
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,Low Risk,Past Due,68220.78,15.43,33398.29,24,12,2025-04-11,2025-04-16
Cebu IT Park Branch,Small Business Micro-Loan,Self-Employed,Low Risk,Active,67587.86,17.81,106010.89,24,14,2025-04-10,2025-04-15
Davao Central Branch,Salary Loan,Regular,Low Risk,Active,328113.05,16.49,44660.27,36,88,2025-06-13,2025-06-15
Makati CBD Branch,Emergency Cash Loan,OFW Dependent,Low Risk,Active,375561.99,22.75,114798.21,24,86,2025-03-09,2025-03-15
Makati CBD Branch,Emergency Cash Loan,Contractual,Low Risk,Fully Paid,295850.69,16.2,76070.34,36,59,2025-02-05,2025-02-08
Cebu IT Park Branch,Small Business Micro-Loan,OFW Dependent,Low Risk,Restructured,481464.55,23.88,60844.49,12,21,2025-06-29,2025-07-01
Cebu IT Park Branch,OFW Remittance Advance,Regular,Medium Risk,Past Due,193686.58,21.7,75909.33,36,62,2025-06-27,2025-06-30
Makati CBD Branch,Salary Loan,Self-Employed,Medium Risk,Active,149998.92,11.73,69253.33,24,89,2025-06-18,2025-06-20
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,Medium Risk,Fully Paid,435613.57,22.92,94671.51,24,74,2025-05-26,2025-06-01
Makati CBD Branch,Salary Loan,Self-Employed,Medium Risk,Restructured,119561.96,10.3,44662.09,36,73,2025-01-22,2025-01-24
Quezon City Hub,Salary Loan,Contractual,High Risk,Past Due,481979.04,21.17,52070.29,36,24,2025-03-07,2025-03-10
Cebu IT Park Branch,Emergency Cash Loan,OFW Dependent,Low Risk,Past Due,15955.69,14.4,108879.9,36,47,2025-01-21,2025-01-26
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,High Risk,Active,485240.63,22.11,114377.93,18,42,2025-04-10,2025-04-13
Davao Central Branch,Emergency Cash Loan,Contractual,Low Risk,Active,,21.95,108718.61,24,37,2025-05-08,2025-05-12
Cebu IT Park Branch,Small Business Micro-Loan,Contractual,Low Risk,Restructured,446660.13,20.99,59042.04,24,40,2025-02-13,2025-02-17
Makati CBD Branch,Salary Loan,Contractual,High Risk,Fully Paid,268573.54,20.75,96938.38,18,44,2025-04-13,2025-04-17
Makati CBD Branch,Emergency Cash Loan,Regular,Medium Risk,Restructured,496552.75,13.22,65015.25,36,87,2025-02-16,2025-02-20
Cebu IT Park Branch,Salary Loan,Regular,High Risk,Active,46160.32,9.75,67241.68,12,39,2025-02-08,2025-02-14
Cebu IT Park Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Restructured,281388.6,14.75,36491.41,36,16,2025-01-29,2025-02-03
Davao Central Branch,OFW Remittance Advance,OFW Dependent,Low Risk,Fully Paid,484958.24,11.19,77068.68,36,87,2025-02-23,2025-02-28
Cebu IT Park Branch,Emergency Cash Loan,OFW Dependent,Low Risk,Past Due,266317.94,19.27,34544.27,18,56,2025-03-31,2025-04-03
Makati CBD Branch,Emergency Cash Loan,Self-Employed,Low Risk,Past Due,318405.33,13.86,49814.29,24,1,2025-03-26,2025-03-28
Davao Central Branch,Salary Loan,Contractual,Medium Risk,Past Due,350916.86,23.62,104778.17,36,61,2025-01-17,2025-01-20
Makati CBD Branch,Salary Loan,OFW Dependent,High Risk,Past Due,232725.12,18.44,36742.96,24,87,2025-03-21,2025-03-24
Quezon City Hub,OFW Remittance Advance,Contractual,High Risk,Active,317503.46,21.25,22471.62,6,8,2025-06-08,2025-06-11
Cebu IT Park Branch,Emergency Cash Loan,Regular,Medium Risk,Active,296314.01,10.55,22245.8,24,67,2025-03-14,2025-03-17
Quezon City Hub,Small Business Micro-Loan,Contractual,High Risk,Fully Paid,451567.43,21.86,113782.37,12,80,2025-02-18,2025-02-23
Makati CBD Branch,Small Business Micro-Loan,Self-Employed,High Risk,Fully Paid,32268.73,22.8,68226.65,12,16,2025-04-11,2025-04-13
Quezon City Hub,Emergency Cash Loan,Self-Employed,Low Risk,Fully Paid,147671.96,16.05,57988.27,36,49,2025-01-02,2025-01-05
Quezon City Hub,Emergency Cash Loan,Contractual,Medium Risk,Fully Paid,475701.63,17.9,100142.25,24,39,2025-06-25,2025-06-30
Makati CBD Branch,Emergency Cash Loan,Self-Employed,Low Risk,Restructured,446229.25,20.35,102761.72,36,57,2025-05-22,2025-05-25
Makati CBD Branch,OFW Remittance Advance,Self-Employed,Medium Risk,Fully Paid,233271.81,11.21,49880.06,18,74,2025-02-28,2025-03-04
Cebu IT Park Branch,Small Business Micro-Loan,Regular,Low Risk,Past Due,313864.97,16.29,87829.9,12,84,2025-04-07,2025-04-10
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,High Risk,Past Due,145916.78,14.68,95967.9,36,20,2025-04-09,2025-04-12
Davao Central Branch,Salary Loan,Self-Employed,Medium Risk,Past Due,102179.37,10.77,83738.32,18,17,2025-04-13,2025-04-19
Davao Central Branch,Salary Loan,OFW Dependent,Medium Risk,Restructured,237212.22,14.2,30917.48,36,54,2025-06-28,2025-07-02
Makati CBD Branch,Emergency Cash Loan,Contractual,Low Risk,Fully Paid,183142.59,9.56,106967.72,24,28,2025-01-02,2025-01-04
Makati CBD Branch,Salary Loan,Contractual,Medium Risk,Past Due,295991.49,8.9,71604.93,24,23,2025-02-10,2025-02-13
Quezon City Hub,OFW Remittance Advance,Self-Employed,High Risk,Past Due,48089.97,10.6,44659.6,24,73,2025-05-03,2025-05-05
Makati CBD Branch,Small Business Micro-Loan,Contractual,High Risk,Past Due,487453.46,23.43,59648.96,24,16,2025-03-23,2025-03-27
Davao Central Branch,Small Business Micro-Loan,Regular,High Risk,Past Due,493243.26,17.02,18944.96,6,17,2025-05-24,2025-05-27
Cebu IT Park Branch,Salary Loan,Self-Employed,Low Risk,Active,352099.24,23.47,28426.01,18,41,2025-05-12,2025-05-18
Cebu IT Park Branch,Emergency Cash Loan,Self-Employed,Medium Risk,Fully Paid,272687.22,15.2,95382.41,18,83,2025-05-20,2025-05-25
Quezon City Hub,Salary Loan,Self-Employed,Low Risk,Fully Paid,161668.53,13.33,15001.22,24,44,2025-01-29,2025-02-04
Cebu IT Park Branch,Emergency Cash Loan,Contractual,High Risk,Restructured,408759.56,16.35,58739.41,6,81,2025-05-15,2025-05-21
Makati CBD Branch,OFW Remittance Advance,Contractual,Medium Risk,Active,345518.27,15.31,69863.57,24,16,2025-01-14,2025-01-19
Makati CBD Branch,Small Business Micro-Loan,Self-Employed,High Risk,Restructured,89682.3,10.14,20736.61,6,72,2025-01-12,2025-01-17
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Past Due,456354.32,18.43,117173.21,24,13,2025-04-09,2025-04-14
Makati CBD Branch,Small Business Micro-Loan,Contractual,Medium Risk,Restructured,413043.25,11.85,38743.16,12,48,2025-05-13,2025-05-16
Quezon City Hub,OFW Remittance Advance,Contractual,Low Risk,Past Due,475401.96,18.1,46940.87,12,28,2025-03-22,2025-03-24
Cebu IT Park Branch,Salary Loan,Self-Employed,Medium Risk,Past Due,365602.56,18.58,,36,3,2025-04-16,2025-04-18
Davao Central Branch,OFW Remittance Advance,OFW Dependent,High Risk,Fully Paid,310573.45,10.86,39193.75,24,81,2025-02-01,2025-02-06
Cebu IT Park Branch,OFW Remittance Advance,Self-Employed,Medium Risk,Fully Paid,214939.09,9.45,15154.75,18,19,2025-03-15,2025-03-21
Makati CBD Branch,Salary Loan,Contractual,High Risk,Fully Paid,467036.96,20.6,91581.2,36,46,2025-06-20,2025-06-24
Davao Central Branch,Small Business Micro-Loan,Self-Employed,Low Risk,Fully Paid,434371.31,15.63,116518.78,12,8,2025-03-22,2025-03-27
Quezon City Hub,Small Business Micro-Loan,Self-Employed,High Risk,Fully Paid,32157.15,9.4,38550.82,24,76,2025-03-10,2025-03-16
Makati CBD Branch,Salary Loan,Self-Employed,Medium Risk,Active,22919.82,23.92,84619.96,36,78,2025-02-14,2025-02-20
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,High Risk,Fully Paid,,9.4,92899.11,24,26,2025-04-16,2025-04-19
Davao Central Branch,OFW Remittance Advance,Self-Employed,High Risk,Restructured,407171.13,19.27,104084.66,12,14,2025-05-17,2025-05-20
Quezon City Hub,OFW Remittance Advance,Contractual,Medium Risk,Past Due,493765.3,23.75,59376.07,36,18,2025-06-26,2025-06-28
Davao Central Branch,Emergency Cash Loan,Self-Employed,High Risk,Fully Paid,83704.28,12.21,46807.75,12,89,2025-06-10,2025-06-12
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,Medium Risk,Active,301124.05,10.7,49155.99,6,51,2025-04-10,2025-04-14
Makati CBD Branch,OFW Remittance Advance,Regular,Low Risk,Restructured,196636.52,10.38,89825.24,12,25,2025-05-26,2025-05-30
Cebu IT Park Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Restructured,485258.05,13.2,100761.84,24,88,2025-01-09,2025-01-13
Makati CBD Branch,OFW Remittance Advance,Self-Employed,Low Risk,Past Due,422638.27,10.07,34069.47,18,25,2025-03-03,2025-03-07
Cebu IT Park Branch,Salary Loan,Regular,High Risk,Restructured,420781.07,19.23,53948.81,12,25,2025-01-29,2025-02-04
Cebu IT Park Branch,Salary Loan,Self-Employed,High Risk,Restructured,239659.65,9.47,109703.72,18,45,2025-05-05,2025-05-11
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,Low Risk,Restructured,213261.56,16.4,99702.82,6,48,2025-04-24,2025-04-26
Davao Central Branch,Small Business Micro-Loan,Regular,High Risk,Restructured,143969.47,23.95,118410.13,36,81,2025-06-02,2025-06-05
Quezon City Hub,Salary Loan,Regular,High Risk,Active,37623.99,21.12,94196.07,36,52,2025-05-23,2025-05-26
Makati CBD Branch,Emergency Cash Loan,Self-Employed,Low Risk,Past Due,433713.96,18.04,56285.5,18,2,2025-05-14,2025-05-19
Davao Central Branch,Salary Loan,Self-Employed,High Risk,Fully Paid,408321.49,13.25,,36,65,2025-04-30,2025-05-06
Cebu IT Park Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Restructured,499861.66,18.17,84406.5,12,41,2025-06-19,2025-06-23
Cebu IT Park Branch,Emergency Cash Loan,Self-Employed,High Risk,Active,498352.05,16.67,23237.86,18,18,2025-06-06,2025-06-10
Makati CBD Branch,Salary Loan,Regular,High Risk,Past Due,282161.54,15.1,72172.18,24,16,2025-03-20,2025-03-25
Davao Central Branch,Emergency Cash Loan,Contractual,High Risk,Fully Paid,386803.83,10.53,89478.69,12,32,2025-04-03,2025-04-06
Makati CBD Branch,Emergency Cash Loan,Contractual,Low Risk,Past Due,472935.21,22.24,32568.74,12,75,2025-01-04,2025-01-08
Makati CBD Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Active,,15.47,96966.33,12,48,2025-03-23,2025-03-26
Quezon City Hub,Small Business Micro-Loan,Self-Employed,Medium Risk,Active,131200.57,11.52,76296.14,24,55,2025-06-26,2025-07-01
Makati CBD Branch,Salary Loan,OFW Dependent,High Risk,Active,230766.63,14.2,114983.29,6,62,2025-06-21,2025-06-24
Davao Central Branch,Small Business Micro-Loan,Contractual,Low Risk,Restructured,73288.11,14.92,19454.34,36,2,2025-03-16,2025-03-19
Makati CBD Branch,Small Business Micro-Loan,Contractual,Low Risk,Active,477485.0,21.33,42859.24,18,48,2025-01-14,2025-01-17
Davao Central Branch,OFW Remittance Advance,Self-Employed,Medium Risk,Fully Paid,307025.57,19.87,78163.16,6,54,2025-05-11,2025-05-15
Cebu IT Park Branch,OFW Remittance Advance,Regular,Low Risk,Restructured,122034.97,20.42,46138.79,18,25,2025-04-24,2025-04-26
Makati CBD Branch,Emergency Cash Loan,Self-Employed,High Risk,Past Due,339133.34,8.67,90014.54,36,71,2025-03-03,2025-03-09
Davao Central Branch,Emergency Cash Loan,Contractual,High Risk,Fully Paid,312882.84,14.95,94695.55,24,51,2025-04-16,2025-04-19
Cebu IT Park Branch,OFW Remittance Advance,Regular,Low Risk,Restructured,185499.73,15.96,25764.18,12,6,2025-03-05,2025-03-08
Davao Central Branch,OFW Remittance Advance,OFW Dependent,High Risk,Active,65643.22,8.8,68954.72,12,45,2025-04-12,2025-04-15
Cebu IT Park Branch,Salary Loan,Contractual,Medium Risk,Past Due,339070.87,12.53,68433.51,24,45,2025-06-22,2025-06-24
Quezon City Hub,Emergency Cash Loan,OFW Dependent,High Risk,Active,264950.77,20.28,53774.48,6,15,2025-04-16,2025-04-21
Makati CBD Branch,Emergency Cash Loan,Regular,Low Risk,Fully Paid,388436.01,10.63,112957.11,6,23,2025-01-20,2025-01-24
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Fully Paid,264880.12,16.8,101888.16,18,60,2025-02-27,2025-03-01
Cebu IT Park Branch,Salary Loan,Contractual,High Risk,Restructured,427568.94,11.84,88206.99,24,53,2025-04-22,2025-04-25
Quezon City Hub,OFW Remittance Advance,Self-Employed,Medium Risk,Fully Paid,280434.35,8.69,90004.3,6,61,2025-02-26,2025-02-28
Davao Central Branch,OFW Remittance Advance,OFW Dependent,Low Risk,Past Due,284859.61,12.24,63480.2,24,0,2025-04-29,2025-05-01
Quezon City Hub,Small Business Micro-Loan,Contractual,High Risk,Restructured,439560.27,23.63,111704.42,36,48,2025-04-07,2025-04-09
Davao Central Branch,Emergency Cash Loan,Contractual,High Risk,Past Due,207706.6,20.92,87932.52,12,24,2025-04-02,2025-04-07
Davao Central Branch,Salary Loan,Regular,Medium Risk,Active,75667.46,23.37,91543.01,12,9,2025-02-21,2025-02-27
Makati CBD Branch,Small Business Micro-Loan,Contractual,High Risk,Past Due,24103.51,16.06,105477.54,12,79,2025-02-06,2025-02-10
Cebu IT Park Branch,Emergency Cash Loan,Self-Employed,High Risk,Past Due,380017.26,10.2,43777.52,24,15,2025-01-08,2025-01-13
Makati CBD Branch,OFW Remittance Advance,Self-Employed,High Risk,Fully Paid,313951.68,16.99,99742.44,24,57,2025-02-13,2025-02-18
Makati CBD Branch,Salary Loan,OFW Dependent,High Risk,Active,354999.09,15.54,35500.26,18,71,2025-04-08,2025-04-14
Makati CBD Branch,Emergency Cash Loan,OFW Dependent,Low Risk,Fully Paid,114352.44,21.59,,12,28,2025-05-13,2025-05-18
Davao Central Branch,OFW Remittance Advance,OFW Dependent,High Risk,Active,76822.02,10.02,50239.1,18,5,2025-04-28,2025-04-30
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,Medium Risk,Active,17126.89,16.07,117745.17,12,15,2025-03-10,2025-03-12
Davao Central Branch,Salary Loan,Self-Employed,Low Risk,Past Due,181787.9,10.83,104936.41,18,19,2025-06-08,2025-06-11
Cebu IT Park Branch,Emergency Cash Loan,Regular,Medium Risk,Fully Paid,299059.67,13.53,,18,79,2025-02-14,2025-02-19
Davao Central Branch,Small Business Micro-Loan,OFW Dependent,Medium Risk,Past Due,202199.58,19.93,91340.96,36,70,2025-05-17,2025-05-20
Davao Central Branch,OFW Remittance Advance,Regular,Medium Risk,Past Due,224362.71,15.88,74017.64,18,77,2025-02-01,2025-02-05
Quezon City Hub,OFW Remittance Advance,Contractual,Low Risk,Past Due,453037.76,14.33,114444.52,24,42,2025-02-02,2025-02-04
Makati CBD Branch,Emergency Cash Loan,Contractual,Low Risk,Active,180645.18,14.61,67107.17,18,25,2025-05-06,2025-05-10
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Low Risk,Fully Paid,261854.85,15.62,54954.36,12,89,2025-03-08,2025-03-14
Makati CBD Branch,Salary Loan,Contractual,High Risk,Fully Paid,393989.98,20.67,32118.71,18,77,2025-01-30,2025-02-01
Makati CBD Branch,Emergency Cash Loan,Regular,Medium Risk,Past Due,204305.96,22.33,97551.59,6,70,2025-04-24,2025-04-28
Quezon City Hub,Small Business Micro-Loan,Regular,Low Risk,Active,314822.48,23.31,92116.61,12,32,2025-01-29,2025-02-04
Quezon City Hub,Emergency Cash Loan,Contractual,Medium Risk,Fully Paid,432558.22,20.7,55357.28,6,25,2025-05-11,2025-05-15
Quezon City Hub,Emergency Cash Loan,OFW Dependent,Low Risk,Restructured,475265.11,13.39,17645.31,12,44,2025-01-30,2025-02-05
Quezon City Hub,Small Business Micro-Loan,Regular,Low Risk,Fully Paid,82066.01,19.17,103094.72,24,83,2025-05-17,2025-05-23
Makati CBD Branch,OFW Remittance Advance,Regular,Low Risk,Past Due,464027.94,15.28,16198.89,24,62,2025-06-03,2025-06-05
Davao Central Branch,Small Business Micro-Loan,Self-Employed,Medium Risk,Restructured,251136.98,12.45,88888.48,24,66,2025-05-10,2025-05-13
Cebu IT Park Branch,Salary Loan,OFW Dependent,High Risk,Active,136539.75,21.53,116877.0,6,51,2025-03-03,2025-03-09
Quezon City Hub,OFW Remittance Advance,Self-Employed,Low Risk,Restructured,234976.52,9.1,60954.44,36,67,2025-01-03,2025-01-09
Davao Central Branch,Emergency Cash Loan,Contractual,Low Risk,Restructured,490215.96,22.48,39672.21,12,25,2025-06-23,2025-06-25
Quezon City Hub,OFW Remittance Advance,Contractual,Low Risk,Past Due,251382.87,15.65,89011.46,24,74,2025-03-09,2025-03-12
Makati CBD Branch,OFW Remittance Advance,Self-Employed,High Risk,Fully Paid,171088.29,18.38,100798.45,12,1,2025-01-25,2025-01-30
Makati CBD Branch,Salary Loan,OFW Dependent,Medium Risk,Active,320366.42,18.72,72375.18,6,13,2025-06-28,2025-07-03
Davao Central Branch,OFW Remittance Advance,Regular,Medium Risk,Restructured,127671.35,22.37,116538.7,36,29,2025-05-21,2025-05-24
Davao Central Branch,OFW Remittance Advance,Contractual,Medium Risk,Past Due,47173.03,18.37,20425.22,6,48,2025-02-13,2025-02-17
Davao Central Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Fully Paid,73151.06,18.02,68003.54,12,11,2025-06-12,2025-06-14
Makati CBD Branch,Emergency Cash Loan,OFW Dependent,Low Risk,Restructured,72742.46,9.53,90437.66,36,89,2025-02-24,2025-02-27
Makati CBD Branch,OFW Remittance Advance,Contractual,High Risk,Past Due,84432.32,16.54,105577.25,36,43,2025-05-17,2025-05-22
Cebu IT Park Branch,Small Business Micro-Loan,Contractual,Low Risk,Past Due,78025.31,10.83,33821.84,6,32,2025-05-10,2025-05-16
Davao Central Branch,OFW Remittance Advance,OFW Dependent,High Risk,Past Due,324028.62,19.93,99000.37,24,12,2025-02-10,2025-02-15
Cebu IT Park Branch,Salary Loan,Regular,Medium Risk,Active,99121.24,16.44,73034.24,12,77,2025-06-21,2025-06-27
Quezon City Hub,OFW Remittance Advance,Self-Employed,High Risk,Fully Paid,179376.97,19.04,56638.14,18,87,2025-03-05,2025-03-07
Cebu IT Park Branch,OFW Remittance Advance,Contractual,Low Risk,Restructured,449426.32,9.15,28830.08,18,25,2025-01-31,2025-02-06
Quezon City Hub,Emergency Cash Loan,Self-Employed,Low Risk,Fully Paid,242241.2,9.81,105856.05,6,20,2025-02-16,2025-02-19
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,Medium Risk,Fully Paid,337103.29,19.6,31513.69,12,27,2025-05-10,2025-05-16
Cebu IT Park Branch,OFW Remittance Advance,Self-Employed,Low Risk,Restructured,94436.74,9.62,47527.73,12,47,2025-04-06,2025-04-10
Davao Central Branch,Small Business Micro-Loan,Regular,Low Risk,Fully Paid,104221.62,9.6,45454.78,6,39,2025-03-18,2025-03-21
